model,accuracy,precision,recall,f1,areaUnderROC,areaUnderPR,tp,tn,fp,fn
RandomForest,0.579047773573959,0.3173510083098069,0.7228005606256753,0.4410539647720893,0.6795320883386932,0.36783004607876746,67558,167983,145323,25909
LinearSVC,0.6004110400641144,0.3242482685623852,0.6817272406303829,0.43947168770260014,0.6850774658106774,0.3773349604021613,63719,180512,132794,29748
NaiveBayes,0.6125578639683558,0.33105737316263634,0.6723014539891085,0.4436505611115622,0.4799993494362624,0.22413437069191486,62838,186334,126972,30629
