model,accuracy,precision,recall,f1,areaUnderROC,areaUnderPR,tp,tn,fp,fn,best_params
RandomForest,0.6083705064287589,0.29794799498746866,0.7061291160856814,0.41907091003227687,0.704285989154292,0.36928095465267574,57063,188698,134457,23748,cacheNodeIds=False; checkpointInterval=10; featureSubsetStrategy=auto; featuresCol=features; impurity=gini; labelCol=label; maxBins=32; maxDepth=7; maxMemoryInMB=256; minInfoGain=0.0; minInstancesPerNode=10; numTrees=30; predictionCol=prediction; probabilityCol=probability; rawPredictionCol=rawPrediction; seed=42; subsamplingRate=1.0
LinearSVC,0.6056697840907403,0.29312408074183804,0.6880622687505414,0.41110971453076134,0.6947155894988767,0.35238802566979227,55603,189067,134088,25208,aggregationDepth=2; featuresCol=features; fitIntercept=True; labelCol=label; maxIter=100; predictionCol=prediction; rawPredictionCol=rawPrediction; regParam=0.001; standardization=True; threshold=0.0; tol=1e-06
NaiveBayes,0.6336968952832664,0.3057536687085336,0.6541064954028536,0.4167179099065008,0.45940655237751105,0.18667713101435252,52859,203133,120022,27952,"MinMaxScaler_4016be0ea628e380b96f__inputCol=features; MinMaxScaler_4016be0ea628e380b96f__max=5.0; MinMaxScaler_4016be0ea628e380b96f__min=0.0; MinMaxScaler_4016be0ea628e380b96f__outputCol=features_scaled; NaiveBayes_4715aa6b2cd863cf763f__featuresCol=features_scaled; NaiveBayes_4715aa6b2cd863cf763f__labelCol=label; NaiveBayes_4715aa6b2cd863cf763f__modelType=multinomial; NaiveBayes_4715aa6b2cd863cf763f__predictionCol=prediction; NaiveBayes_4715aa6b2cd863cf763f__probabilityCol=probability; NaiveBayes_4715aa6b2cd863cf763f__rawPredictionCol=rawPrediction; NaiveBayes_4715aa6b2cd863cf763f__smoothing=0.5; NaiveBayes_4715aa6b2cd863cf763f__thresholds=[1.0, 2.0]"
