model,accuracy,precision,recall,f1,areaUnderROC,areaUnderPR,tp,tn,fp,fn
RandomForest,0.5878291737423447,0.2881260384524092,0.721015703307718,0.4117229317928878,0.6917868693293527,0.34480085240819486,58266,179197,143958,22545
LinearSVC,0.5793235074238922,0.28518611354806367,0.7321156773211568,0.41047647130244735,0.6902081302717746,0.3503044992281551,59163,174864,148291,21648
NaiveBayes,0.6167028908373478,0.2992842036765902,0.6829639529272005,0.41618876333322025,0.4594051526942013,0.18667666845980257,55191,193936,129219,25620
